,0,1,2,3,4,5,6,7,8,9,10
0,9.421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,75.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,18.40625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,75.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,18.40625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,9.421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
