,0,1,2,3,4,5,6,7,8,9,10
0,0.010000000000000002,0.609375,0.609375,0.609375,0.609375,0.609375,0.609375,0.609375,0.609375,0.609375,0.609375
1,0.020000000000000004,0.578125,0.578125,0.578125,0.625,0.625,0.625,0.625,0.640625,0.640625,0.640625
2,0.025,0.609375,0.609375,0.609375,0.609375,0.609375,0.625,0.625,0.625,0.625,0.625
3,0.05,0.625,0.625,0.625,0.625,0.625,0.8125,0.8125,0.8125,0.8125,0.8125
4,0.1,0.578125,0.578125,0.609375,0.671875,0.671875,0.671875,0.671875,0.671875,0.671875,0.671875
5,0.2,0.640625,0.640625,0.640625,0.640625,0.640625,0.640625,0.640625,0.640625,0.671875,0.671875
6,0.25,0.671875,0.671875,0.671875,0.671875,0.671875,0.671875,0.671875,0.671875,0.671875,0.671875
7,0.5,0.609375,0.609375,0.609375,0.609375,0.640625,0.640625,0.65625,0.6875,0.6875,0.6875
8,1.0,0.609375,0.609375,0.609375,0.609375,0.609375,0.609375,0.609375,0.609375,0.609375,0.609375
9,2.0,0.59375,0.59375,0.59375,0.609375,0.609375,0.609375,0.625,0.625,0.625,0.625
