,0,1,2,3,4,5,6,7,8,9,10
0,4.6545648559167e-310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5e-324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,6.9076342290736e-310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.90979943713e-313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,6e-323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5e-324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,6.9076343486663e-310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
