,0,1,2,3,4,5,6,7,8,9,10
0,10.6875,0.9642857313156128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,12.40625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,12.40625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,21.0,0.9285714030265808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,10.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0,0.9642857313156128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
